accepted_coded,Coder,Code Category,Code Subcategory,Discourse Category,Question Code,Answer Code,Root Cause
4503,,Training and Pipeline,Training,Transformers,Question about computing loss and attention mask function,HF member explaining how the attention mask doesn't affect loss computation,Lack of theoretical Knowlege by user
10967,,Memory & Performance,GPU/Accelerate,Beginners,Issue using multiple GPUs with Accelerate library following official examples and training model,HF member providing explanation for the library [Accelerate] and guideline for API Usage,Lack of knowledge for API usage for library [Accelerate]
11502,,Lack of Support,Lack of Support,Hub,Lack of support by HF for paid membership,HF member indicates that the answer was provided through email,Lack of support and instructions for contacting HF in their paid membership
19194,,External Platforms and Libraries,Amazon,Amazon Sagemaker,Issue with model output deployed on External Platform [sagemaker],User thanking the HF member for the answer and rewriting the corrected code/commands,Lack of knowledge for specifying the task in the API for deploying the model to the Sagemaker
19761,,Dataset Acquisition and Usage,Datasets,Datasets,User requesting help regrding loading large dataset,Asker comes back with the new method for loading that works,Lack of knowledge by user for using APIs for handling large datasets
19889,,Spaces,Spaces,Spaces,Unexpected new error in space using custom model,Expert pointing out errors in model configuration file [README],Lack of knowledge by the User about accepted values for library name in custom model README file
29423,,Tutorial and Documentation Issues,Lack of Documentation,Datasets,Lack of details for [dataset builder] classes in the documentation / Asking for comparison and clarification,Expert providing explanation about different [dataset builder] classes,Lack of documentation for different classes of dataset builders
29470,,Model Usage and Understanding,Model Loading/Saving,Models,desperate user asking for advice to share model in a special format,[snowball effect] sharing similar discourse post. Explaining possible workaround,Lack of knowledge by the user on how to save a model in a special format [pickle] and lack of guidance for it
31048,,Uncategorized,Uncategorized,Gradio,Asking about the pronunciation of the External Platform [Gradio],HF member providing the pronunciation of external platform [Gradio],Removed
18981,,Specific Solution Need,Specific Solution Need,Beginners,User asking for solution for splitting big input text (>512) for a specific task [token classification] and merging outputs,User implemented their own custom pipeline for chunking and merging long input sequences,No predefined feature in HF for input sequences longer than 512 tokens for exported models by ONNX
19446,,External Platforms and Libraries,Gradio,Gradio,External platform [gradio] API usage for plotting data,Gradio member promising implementation of feature [support for column width] in near future,Lack of feature suport by external platform [Gradio]
19981,,External Platforms and Libraries,Amazon,Optimum,Error comprehension on external platform [Amazong sagemaker] following documentation [snowball effect],"HF member pointing out the issue as version mismatch, python upgrade required",Backward incompatible Library [Optimum]
21227,,Dataset Acquisition and Usage,Datasets,Datasets,question about the necessity of two dataset loading commands following the documentation [snowball effect],HF member clarifying about commands for dataset loading,Lack of clarity in the official examples in the documentation
23166,,Model Usage and Understanding,Model Converting(ONNX),Transformers,user facing unexpected error converting [onnx] model [LayoutLMv3] following official documentation [snowball effect],model owner acknowledges lacking file on the model hub and fixes it + model owner suggests voluntary detail about using the command for converting the model,Model owner forgetting to upload a necessary file on the hub
23315,,Memory & Performance,GPU,Transformers,model [BLOOM] runs on CPU but not GPU,Self-solution:setting parameters to configure processors used by accelerate library,Lack of knowledge by user to use accelerate library
23776,,External Platforms and Libraries,Amazon,Inference Endpoint on the Hub,question about the possibility of using external platform [amazon AWS] instances not listed in UI,HF member explaining how to use instaces of the external platform [amazon AWS] not listed on UI + HF member promises availability/support for more instances of external platform [amazon AWS] in near future,Lack of attention from the user + Lack of support for great variety of instances on Amazon AWS by HF
24018,,External Platforms and Libraries,Gradio,Spaces,User having gateway timeout [504] issue when building space on external platform [Gradio] using specific model [Whisper],HF member explaining the reason behind settings in external platform [gradio] that is causing the issue,Lack of kowledge by the user about the internal timeout in spaces
24288,,Specific Solution Need,Specific Solution Need,Beginners,user asking basic question about how to use a model [bart-large-cnn] for a specific task [summarization],user finding the code for using model [bart-large-cnn] for the task [summarization] and running it in visual studio,Lack of basic API usage knowledge by user
28987,,API Usage issue,REST API,Datasets,issue accessing private dataset with REST API with authentication,Expert declaring the un-availability of the feature for previewing and REST API for private datasets with link to similar issue on forums [snowball effect],Feature unavailable for REST API for private datasets in HF at that time
29799,,Spaces,Spaces,Spaces,permission issue writing to space using external library [docker],HF member explaining configuration needed for writing permission in spaces with PR on HF for solving it  and link to documentation [snowball effect],Lack of knowledge for space setup by user
30832,,Specific Solution Need,Specific Solution Need,Beginners,User asking for advice/toolkit for specific model [whisper] specific task [speaker diarization],HF member suggesting tips for special model [Whisper] for special task [speaker diarization] and pointing out support for required task in HF library [speechbox],Lack of awareness about the existence of the feature in the HF library
31171,,External Platforms and Libraries,Amazon,Amazon Sagemaker,issue setting the number of evaluation data samples on external platform [amazon sagemaker],HF member pointing out mistake in moving files between external platform [amazon sagemaker] and HF with reference to official notebook [snowball effect],Lack of knowledge by the user to use external platform [Amazon Sagemaker] with HF
31171,,External Platforms and Libraries,Amazon,Amazon Sagemaker,error using dataset from external platform [amazon s3],user referencing similar post [snowball effect] and HF member's response for similar issue in configuring dataset on external platfrom [amazon s3],Confusing parameter setting in external platform [Amazon S3]
32251,,Dataset Acquisition and Usage,Custom Datasets,Datasets,User gets an error using custom split [from IMDB dataset script] for custom dataset,[snowball effect] HF team member suggests solution with reference to a github issue link,Bug in Datasets custom dataset library
32358,,Memory & Performance,Optimization/Accelerate,Accelerate,Newcomer gets unexpected output when followingthe documentation to use the HF library [accelerate] for distributed training on multiple GPUs,User shared their solution for unexpected output working with the accelerate library [pickling everything to find the problematic part: DataCollector] + [snowball effect] User offering details for the implementation [pickling objects] with link to stack overflow post,Lacking feature in Transformers [Transformers Datacollectorforseq2seq cannot be pickled]
32751,,Feature/Model Requests,Implementation of HF/SourceCode,Datasets,question about streaming mechanism of data samples in the [Dataset] library and the effect on processing time and latency,user explains the feature they wanted [caching large processed dataset] is implemented in pytorch ,Feature lacking in HF [caching datasets]
40224,,Model Usage and Understanding,Model Card,Beginners,User asking about how to make multiple dataset card in multiple languages,HF member suggesting to the user to use the same method as transformers for making cards in multiple languages,Lack of guidance/samples for creating model cards
9889,,Tutorial and Documentation Issues,Tutorials,Site Feedback,Outdated tutorial code and a possible solution,Announcement of a new version of the blog post (Tutorial) by HF User,Tutorials are not updated and maintained in a timely manner by HF
