,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01
blenderbot,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
t5,20.0,19.0,22.0,20.0,20.0,14.0,22.0,22.0,21.0,11.0,15.0,33.0,24.0,19.0,20.0,15.0,30.0,17.0,25.0,16.0,30.0,23.0,28.0,20.0,18.0,21.0,12.0,15.0,18.0,22.0,26.0,30.0,27.0,30.0,28.0,28.0
mt5,0.0,1.0,0.0,3.0,3.0,4.0,4.0,5.0,3.0,7.0,4.0,6.0,5.0,2.0,2.0,3.0,6.0,5.0,0.0,3.0,2.0,1.0,1.0,9.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,0.0
gpt2,16.0,12.0,19.0,14.0,14.0,10.0,15.0,12.0,22.0,10.0,12.0,47.0,14.0,16.0,11.0,7.0,17.0,9.0,15.0,8.0,13.0,8.0,12.0,4.0,15.0,14.0,8.0,7.0,7.0,13.0,20.0,23.0,17.0,17.0,17.0,18.0
bart,28.0,25.0,18.0,21.0,15.0,18.0,18.0,10.0,21.0,8.0,15.0,23.0,13.0,13.0,15.0,18.0,18.0,15.0,15.0,12.0,14.0,17.0,10.0,8.0,12.0,14.0,9.0,9.0,11.0,8.0,7.0,9.0,10.0,8.0,7.0,10.0
bert,47.0,63.0,51.0,57.0,49.0,47.0,45.0,61.0,65.0,42.0,56.0,91.0,65.0,75.0,67.0,59.0,98.0,48.0,62.0,50.0,70.0,52.0,56.0,49.0,41.0,40.0,36.0,40.0,51.0,39.0,30.0,31.0,43.0,34.0,36.0,35.0
deberta,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,4.0,1.0,2.0,0.0,2.0,3.0,8.0,2.0,0.0,5.0,2.0,0.0,3.0,3.0,5.0,4.0,2.0,4.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0
bloom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,14.0,8.0,4.0,2.0,4.0,3.0,1.0,4.0,8.0,6.0,4.0
whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,9.0,14.0,13.0,15.0,7.0,19.0,15.0
distilbert,12.0,12.0,5.0,12.0,11.0,10.0,9.0,12.0,7.0,9.0,12.0,14.0,10.0,17.0,7.0,13.0,13.0,15.0,13.0,12.0,16.0,6.0,12.0,10.0,16.0,11.0,4.0,8.0,4.0,7.0,5.0,9.0,7.0,14.0,10.0,6.0
