,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06
electra,2.0,17.0,9.0,26.0,7.0,17.0,16.0,5.0,37.0,16.0,15.0,18.0,22.0,34.0,28.0,37.0,25.0,27.0,24.0,16.0,19.0,32.0,7.0,33.0,42.0,33.0,20.0,22.0,33.0,39.0,62.0,66.0,63.0,122.0,73.0,68.0,61.0,60.0,91.0
flaubert,3.0,1.0,,,,,,,1.0,,,,1.0,3.0,1.0,,,1.0,2.0,,,,,,3.0,4.0,1.0,1.0,1.0,,2.0,6.0,1.0,,1.0,18.0,3.0,2.0,14.0
albert,10.0,1.0,1.0,14.0,1.0,1.0,,1.0,30.0,9.0,1.0,7.0,5.0,14.0,15.0,15.0,6.0,11.0,8.0,16.0,21.0,32.0,16.0,16.0,30.0,18.0,29.0,13.0,35.0,194.0,23.0,26.0,18.0,27.0,81.0,73.0,79.0,105.0,37.0
xlm,1.0,,,,,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,6.0,,,6.0,,9.0,,6.0,1.0,1.0,
camembert,1.0,,,,,,1.0,,11.0,2.0,2.0,,7.0,4.0,11.0,22.0,6.0,6.0,5.0,21.0,22.0,9.0,22.0,10.0,23.0,24.0,42.0,24.0,29.0,11.0,33.0,33.0,30.0,40.0,65.0,47.0,59.0,55.0,74.0
distilbert,,3.0,11.0,10.0,3.0,2.0,12.0,6.0,14.0,7.0,21.0,15.0,17.0,21.0,29.0,59.0,84.0,48.0,66.0,135.0,150.0,97.0,323.0,213.0,338.0,239.0,370.0,346.0,365.0,275.0,294.0,455.0,405.0,664.0,742.0,814.0,821.0,897.0,807.0
t5,,1.0,2.0,9.0,6.0,2.0,,7.0,15.0,8.0,2.0,9.0,8.0,10.0,447.0,55.0,43.0,87.0,80.0,64.0,146.0,106.0,93.0,200.0,187.0,227.0,155.0,139.0,196.0,318.0,285.0,286.0,402.0,590.0,503.0,823.0,941.0,1050.0,853.0
xlm-roberta,,1.0,,5.0,1.0,10.0,2.0,1.0,11.0,2.0,59.0,3.0,4.0,20.0,51.0,27.0,17.0,23.0,85.0,57.0,37.0,43.0,118.0,77.0,77.0,106.0,137.0,95.0,158.0,108.0,91.0,216.0,198.0,343.0,189.0,635.0,441.0,326.0,382.0
reformer,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,4.0,,,2.0,4.0,,2.0,,4.0,,,
marian,,1.0,1.0,,5.0,,1.0,,1.0,1.0,,2.0,5.0,1.0,6.0,7.0,6.0,13.0,7.0,13.0,13.0,22.0,22.0,35.0,30.0,38.0,68.0,30.0,27.0,37.0,11.0,31.0,22.0,1478.0,89.0,111.0,119.0,103.0,100.0
ctrl,,1.0,,,,,,,,,,3.0,4.0,4.0,3.0,,,1.0,,,,,,,,,,1.0,,,,9.0,,,,4.0,,1.0,
xlnet,,1.0,8.0,8.0,1.0,4.0,1.0,,2.0,2.0,1.0,2.0,7.0,4.0,2.0,10.0,3.0,14.0,1.0,1.0,1.0,6.0,2.0,2.0,6.0,1.0,3.0,8.0,15.0,2.0,26.0,9.0,15.0,8.0,7.0,23.0,10.0,16.0,4.0
bart,,,13.0,21.0,8.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,2.0,13.0,57.0,16.0,88.0,13.0,23.0,23.0,27.0,22.0,24.0,69.0,43.0,125.0,61.0,114.0,152.0,156.0,242.0,146.0,344.0,198.0,103.0,246.0,338.0,201.0,156.0
longformer,,,,2.0,2.0,,2.0,2.0,1.0,,2.0,,1.0,2.0,,,1.0,2.0,2.0,5.0,1.0,2.0,,6.0,16.0,6.0,5.0,7.0,4.0,1.0,16.0,49.0,20.0,14.0,18.0,16.0,33.0,23.0,14.0
mbart,,,,1.0,,2.0,6.0,,2.0,1.0,6.0,3.0,6.0,5.0,4.0,1.0,9.0,11.0,3.0,13.0,1.0,2.0,12.0,6.0,18.0,36.0,22.0,7.0,19.0,68.0,30.0,24.0,20.0,68.0,111.0,165.0,51.0,59.0,47.0
lxmert,,,,,1.0,3.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,2.0,,,3.0,,,,3.0,,2.0,
funnel,,,,,2.0,,,1.0,8.0,1.0,,2.0,1.0,,,,1.0,1.0,3.0,,1.0,,,,,,1.0,1.0,,,,8.0,5.0,,2.0,9.0,,,1.0
pegasus,,,,,2.0,3.0,6.0,,1.0,,,5.0,2.0,1.0,,3.0,,68.0,9.0,14.0,10.0,15.0,10.0,13.0,27.0,17.0,11.0,28.0,33.0,16.0,13.0,23.0,18.0,68.0,19.0,42.0,54.0,32.0,44.0
bert-generation,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
dpr,,,,,,1.0,,,,,1.0,,9.0,2.0,,,2.0,4.0,3.0,6.0,,1.0,5.0,4.0,,1.0,1.0,11.0,,,2.0,3.0,7.0,8.0,5.0,2.0,6.0,13.0,
blenderbot,,,,,,1.0,,,,,,,,,4.0,1.0,,1.0,,,,,1.0,3.0,3.0,1.0,2.0,,2.0,1.0,,3.0,1.0,2.0,1.0,10.0,1.0,5.0,3.0
prophetnet,,,,,,,5.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,6.0,2.0,3.0,,5.0,1.0,,2.0
xlm-prophetnet,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,2.0
fsmt,,,,,,,1.0,,,,,4.0,,2.0,,,,1.0,,,,,,2.0,,,,2.0,,,,2.0,,14.0,,3.0,2.0,3.0,
mobilebert,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,1.0,,4.0,,,18.0,,2.0,1.0,,12.0,,128.0,52.0,18.0,6.0,4.0,4.0
mt5,,,,,,,,,3.0,1.0,,5.0,3.0,2.0,13.0,9.0,2.0,21.0,5.0,10.0,21.0,17.0,15.0,40.0,52.0,50.0,102.0,47.0,124.0,82.0,43.0,63.0,137.0,143.0,124.0,435.0,157.0,219.0,130.0
tapas,,,,,,,,,4.0,,,,,1.0,,,1.0,3.0,,29.0,,4.0,6.0,,1.0,,,6.0,,1.0,1.0,4.0,,7.0,2.0,4.0,6.0,,1.0
bert,,,,,,,,,1.0,,,,,1039.0,106.0,146.0,183.0,256.0,413.0,471.0,587.0,328.0,569.0,442.0,1184.0,1642.0,1362.0,669.0,1123.0,713.0,868.0,851.0,874.0,1742.0,1217.0,1628.0,1566.0,2041.0,1640.0
squeezebert,,,,,,,,,5.0,,1.0,1.0,,,,,,1.0,,,2.0,,,4.0,,,,,,,,6.0,,,2.0,6.0,,3.0,1.0
mpnet,,,,,,,,,1.0,,,,,,,8.0,7.0,1.0,,,1.0,2.0,6.0,3.0,2.0,11.0,4.0,5.0,9.0,56.0,39.0,116.0,62.0,56.0,72.0,49.0,32.0,151.0,304.0
roberta,,,,,,,,,,1.0,,2.0,2.0,359.0,66.0,67.0,79.0,100.0,145.0,167.0,112.0,199.0,163.0,165.0,245.0,272.0,226.0,369.0,265.0,690.0,382.0,711.0,585.0,336.0,326.0,573.0,609.0,883.0,604.0
led,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,5.0,,,,2.0,1.0,9.0,2.0,2.0,1.0,4.0,3.0,5.0,12.0,8.0,1.0,18.0,8.0,67.0,22.0,18.0,24.0
convbert,,,,,,,,,,,4.0,3.0,2.0,,,1.0,1.0,2.0,1.0,,3.0,3.0,1.0,,,,7.0,,1.0,6.0,,7.0,1.0,1.0,2.0,10.0,6.0,,1.0
layoutlm,,,,,,,,,,,2.0,,,,1.0,2.0,2.0,2.0,,,,1.0,,1.0,1.0,,4.0,1.0,4.0,2.0,16.0,18.0,6.0,19.0,8.0,22.0,9.0,10.0,18.0
blenderbot-small,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,3.0,1.0,3.0,,4.0,1.0,2.0,
deberta-v2,,,,,,,,,,,4.0,,,2.0,,,1.0,1.0,,8.0,15.0,,25.0,12.0,11.0,11.0,25.0,20.0,18.0,30.0,55.0,53.0,48.0,57.0,55.0,87.0,60.0,90.0,106.0
