,2017-09,2018-11,2019-01,2019-02,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,sum,cumulative sum,Cumulative ratio
bert,1,8,,,,6,,,2,,,17,23,30,95,51,57,92,56,120,59,92,61,45,117,80,82,113,224,143,192,254,411,270,494,599,364,591,493,1223,1584,1365,697,1142,728,878,847,880,1708,1247,1428,1406,1922,1354,23651,23651,0.2295166283
gpt2,,,,3,1,,,1,,2,2,,,3,9,6,11,9,31,26,194,149,70,113,72,314,556,427,171,208,305,545,500,253,215,228,233,182,291,270,355,393,298,228,269,374,490,379,502,605,614,688,689,659,11943,35594,0.3454151989
distilbert,,,,,,,,2,,,2,2,,2,5,3,5,15,6,6,2,13,7,10,11,29,14,23,25,42,75,96,51,78,135,164,117,337,240,342,270,361,317,355,286,316,443,386,668,750,786,800,857,718,9172,44766,0.4344231273
roberta,,,,,,,,4,,1,2,,5,4,21,34,19,43,46,53,38,27,21,16,55,14,31,47,65,83,118,137,94,178,130,141,223,185,207,253,286,215,433,309,547,335,758,534,307,385,430,563,783,521,8701,53467,0.5188603259
t5,,,,,,,,,,,,7,,,1,,5,17,42,27,13,20,62,112,46,63,39,140,33,53,77,55,79,100,86,153,149,260,191,242,292,213,153,197,258,301,280,354,339,568,684,933,977,733,8354,61821,0.599930129
wav2vec2,,,,,,,,,,,,,,,,,,,,,,,,,4,6,222,65,39,20,31,31,15,43,74,123,328,404,195,259,324,195,965,157,135,191,280,298,172,242,233,149,289,245,5734,67555,0.6555746407
xlm-roberta,,,,,,,,,,,,6,2,,,,2,1,6,4,12,9,3,14,17,62,30,24,24,34,31,26,23,97,63,33,43,118,82,90,117,120,93,149,109,100,222,232,296,212,630,381,346,291,4154,71709,0.6958863431
bart,,,,,,,,,,,,,,4,2,,11,37,26,12,8,4,2,2,4,5,10,6,23,15,25,83,25,26,24,33,38,35,82,48,134,108,117,160,153,263,161,275,181,95,208,319,179,127,3070,74779,0.7256785739
whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,166,889,215,262,309,323,325,257,2761,77540,0.7524721729
marian,,,,,,,,,,,,,,,,875,137,1,5,314,,5,1,5,2,2,,5,2,7,9,6,13,12,17,17,25,23,68,67,42,66,31,56,41,13,30,22,33,88,109,116,100,90,2455,79995,0.7762962532
mt5,,,,,,,,,,,,,,,,,,,,,,,5,7,1,4,20,12,6,2,9,7,10,6,13,29,31,22,23,83,90,112,47,122,28,48,76,134,98,126,469,123,189,123,2075,82070,0.7964326958
llama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,402,435,573,1513,83583,0.8111153163
vit,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,5,8,39,14,6,1,14,9,7,6,21,35,30,38,81,39,57,63,57,68,90,104,139,152,214,177,1491,85074,0.8255844421
electra,,,,,,,,,,,,,,,6,16,30,25,34,13,19,33,13,21,20,17,7,41,22,34,40,23,15,32,11,21,35,12,32,50,29,23,21,35,38,59,61,50,123,70,48,47,48,70,1344,86418,0.8386270343
albert,,,,,,,,,,,4,5,2,2,20,5,5,2,24,3,6,1,6,8,4,2,15,4,24,15,19,6,7,6,24,20,38,17,18,28,9,19,7,32,193,26,34,21,28,78,53,72,102,25,1039,87457,0.848709812
mpnet,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,1,,12,7,2,1,,1,3,7,2,3,10,2,3,9,56,51,108,63,75,52,45,29,160,291,996,88453,0.8583753045
gpt_neox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,4,4,24,7,10,24,63,92,140,280,192,842,89295,0.8665463332
mbart,,,,,,,,,,,,,,,2,,,1,1,,6,6,3,1,4,11,1,10,3,4,2,10,15,3,11,5,2,13,15,44,63,25,8,19,11,28,30,23,58,112,156,46,45,41,838,90133,0.8746785447
deberta-v2,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,1,,1,1,,4,19,20,1,27,13,10,27,35,27,35,23,56,64,51,55,60,46,60,72,78,794,90927,0.8823837666
camembert,,,,,,,,,,,1,,4,,6,1,,1,3,,2,1,,3,3,,6,6,5,14,19,6,9,5,21,25,12,24,11,25,25,42,22,24,11,32,35,48,29,67,34,56,50,63,751,91678,0.8896717032
gpt_neo,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,25,17,33,9,13,1,,24,21,24,13,19,8,8,7,15,5,13,33,35,35,48,48,77,76,100,716,92394,0.8966199889
pegasus,,,,,,,,,,,,,,,,,,,,15,9,2,,,1,,4,2,2,,4,1,68,11,16,12,15,12,21,23,18,15,28,35,19,16,22,23,50,22,32,42,25,41,606,93000,0.9025008006
opt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,9,7,6,15,14,75,34,43,36,26,86,53,38,465,93465,0.9070133046
bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,3,20,20,26,51,23,21,16,22,38,59,70,67,447,93912,0.911351131
swin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,7,13,13,12,13,15,19,27,21,34,50,58,46,46,46,431,94343,0.9155336885
gptj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,4,6,7,7,16,10,2,17,5,24,3,10,12,13,20,45,103,45,37,32,425,94768,0.9196580201
segformer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,19,,,1,,4,15,6,6,12,9,19,40,34,14,17,23,32,29,76,34,392,95160,0.9234621095
m2m_100,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,,1,5,3,1,2,5,75,84,8,13,16,7,7,12,7,10,19,23,26,21,33,383,95543,0.9271788601
deberta,,,,,,,,,,,,,,,,,,,2,,,,,,5,,1,,,1,4,2,5,4,,4,1,4,1,5,24,24,18,14,8,56,18,5,21,14,17,10,39,41,348,95891,0.9305559599
layoutlmv3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7,2,10,15,16,19,12,17,30,59,34,48,49,328,96219,0.9337389735
longformer,,,,,,,,,,,,,,,,,7,1,4,,,3,1,1,,2,,2,2,,2,1,2,2,5,1,3,3,10,15,5,6,6,4,2,12,53,14,14,19,16,30,17,10,275,96494,0.9364076586
mobilebert,,,,,,,,,,,,,,,,,,2,7,,,,1,,,1,,,,,1,,,,,,1,,5,,,18,1,3,1,,10,,128,53,13,4,4,2,255,96749,0.9388822576
detr,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,8,4,,1,,,,,1,1,,2,,2,2,5,5,4,2,6,27,67,39,27,47,252,97001,0.9413277437
xlnet,,,,,,1,2,,,,,2,,1,1,,2,14,2,1,4,1,1,,2,1,,7,4,2,12,2,11,1,1,1,6,2,3,6,1,3,9,14,2,28,15,16,5,7,13,13,13,4,236,97237,0.9436179607
led,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,1,3,3,,,,2,3,14,3,2,3,4,8,5,16,9,2,1,8,73,15,19,16,216,97453,0.9457140916
big_bird,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,2,1,4,3,1,3,5,,2,2,3,11,,3,1,2,7,14,14,2,78,4,11,1,7,10,200,97653,0.9476549536
esm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,10,7,27,17,7,8,38,31,25,21,193,97846,0.9495278853
resnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,14,6,1,1,3,5,4,4,8,5,8,12,14,12,28,28,26,189,98035,0.9513619999
hubert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,4,5,5,1,2,,1,4,5,7,4,59,3,2,1,11,4,1,8,9,5,5,22,179,98214,0.9530990713
layoutlmv2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,1,5,4,4,5,3,3,7,3,8,4,13,12,7,15,4,9,11,6,10,12,9,160,98374,0.9546517608
convnext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,4,9,3,5,1,4,10,4,12,18,8,5,10,8,22,9,150,98524,0.9561074073
layoutlm,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,1,3,2,3,,,,1,,1,2,,4,2,7,4,12,16,4,21,9,17,8,12,16,149,98673,0.9575533494
videomae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,10,2,17,12,16,17,37,28,149,98822,0.9589992916
beit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,2,,,,2,4,,2,1,2,2,2,4,10,4,43,16,19,16,3,2,147,98969,0.9604258251
longt5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,6,9,10,6,8,7,6,8,2,14,14,19,17,131,99100,0.9616970897
unispeech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,108,,,,4,,,,4,,,,124,99224,0.9629004241
xglm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,2,,6,3,2,,1,,,2,,1,20,53,7,9,5,122,99346,0.9640843499
wavlm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,4,,,1,,55,,,,4,,,5,10,7,9,8,118,99464,0.9652294584
codegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,2,1,2,3,6,2,8,10,15,12,6,16,10,7,115,99579,0.966345454
speecht5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,15,39,42,103,99682,0.9673449979
dpr,,,,,,,,,,,,,,,,,,3,,,1,3,,,,2,2,12,,,1,2,2,3,6,5,,4,2,,,2,17,2,,2,3,5,6,3,1,6,2,,97,99779,0.968286316
clip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,1,1,1,1,1,2,2,,4,,,4,12,9,3,4,6,4,4,5,9,11,6,97,99876,0.969227634
audio-spectrogram-transformer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,4,8,9,55,7,95,99971,0.9701495434
lilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,13,7,12,7,11,14,9,14,92,100063,0.9710423399
canine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,,,,,,,,2,7,4,1,6,,3,,5,2,,,10,7,34,2,88,100151,0.9718963192
unispeech-sat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,6,,,,,,,54,,,,5,,,1,6,,2,1,85,100236,0.9727211855
git,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,14,5,14,13,22,8,83,100319,0.9735266432
plbart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,2,,,,,1,,,,2,,,4,,1,9,4,1,3,2,82,100401,0.9743223966
tapas,,,,,,,,,,,,,,,,,,,,,,,1,31,,,,,1,,1,1,8,,,2,3,6,,1,,,1,,1,,4,,7,2,4,6,1,,81,100482,0.9751084457
flaubert,,,,,,,,,,,,,8,,,,,1,,,,,,,,,1,2,,1,1,1,,,1,,,2,5,,4,1,,,,1,6,1,,1,17,2,6,8,70,100552,0.9757877473
ernie,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,5,,1,11,5,19,1,10,7,1,5,69,100621,0.9764573447
